         64        1250  n2 & nume
 395      128.085  9.935413E-01  3.278888E-02  3.318043E-02
 396      129.480  9.930705E-01  3.233020E-02  3.274825E-02
 397      130.890  9.926214E-01  3.189082E-02  3.233333E-02
 398      132.315  9.921885E-01  3.146438E-02  3.192966E-02
 399      133.756  9.917699E-01  3.104525E-02  3.153174E-02
 400      135.212  9.913607E-01  3.060879E-02  3.111493E-02
 401      136.685  9.909818E-01  3.013711E-02  3.065977E-02
 402      138.173  9.906471E-01  2.963012E-02  3.016527E-02
 403      139.678  9.903958E-01  2.913467E-02  2.967678E-02
 404      141.199  9.902077E-01  2.864842E-02  2.919339E-02
 405      142.736  9.901265E-01  2.816915E-02  2.871051E-02
 406      144.291  9.901472E-01  2.776586E-02  2.829894E-02
 407      145.862  9.901810E-01  2.767478E-02  2.820434E-02
 408      147.450  9.901253E-01  2.762496E-02  2.815681E-02
 409      149.056  9.897102E-01  2.780615E-02  2.836496E-02
 410      150.679  9.891042E-01  2.780434E-02  2.839785E-02
 411      152.320  9.884882E-01  2.737418E-02  2.799402E-02
 412      153.978  9.878655E-01  2.693935E-02  2.758472E-02
 413      155.655  9.873319E-01  2.643421E-02  2.709747E-02
 414      157.350  9.869434E-01  2.582021E-02  2.648977E-02
 415      159.064  9.865506E-01  2.519953E-02  2.587441E-02
 416      160.796  9.862338E-01  2.458193E-02  2.525727E-02
 417      162.547  9.860090E-01  2.396929E-02  2.463979E-02
 418      164.317  9.857817E-01  2.334999E-02  2.401494E-02
 419      166.106  9.856210E-01  2.273096E-02  2.338659E-02
 420      167.915  9.855016E-01  2.210956E-02  2.275343E-02
 421      169.743  9.853809E-01  2.148140E-02  2.211301E-02
 422      171.592  9.853367E-01  2.090001E-02  2.151701E-02
 423      173.460  9.853045E-01  2.032105E-02  2.092283E-02
 424      175.349  9.852812E-01  1.974579E-02  2.033199E-02
 425      177.258  9.852983E-01  1.920895E-02  1.977894E-02
 426      179.189  9.853157E-01  1.866626E-02  1.921988E-02
 427      181.140  9.853542E-01  1.814564E-02  1.868273E-02
 428      183.112  9.854082E-01  1.763948E-02  1.815993E-02
 429      185.106  9.854637E-01  1.713034E-02  1.763411E-02
 430      187.122  9.855347E-01  1.666110E-02  1.714888E-02
 431      189.160  9.856064E-01  1.618675E-02  1.665848E-02
 432      191.219  9.856948E-01  1.571185E-02  1.616710E-02
 433      193.302  9.857951E-01  1.523501E-02  1.567349E-02
 434      195.407  9.859042E-01  1.476144E-02  1.518315E-02
 435      197.534  9.860468E-01  1.431852E-02  1.472351E-02
 436      199.685  9.861909E-01  1.387076E-02  1.425911E-02
 437      201.860  9.863578E-01  1.345420E-02  1.382636E-02
 438      204.058  9.865301E-01  1.303926E-02  1.339542E-02
 439      206.280  9.867327E-01  1.264104E-02  1.298113E-02
 440      208.526  9.869587E-01  1.225428E-02  1.257833E-02
 441      210.797  9.871824E-01  1.191175E-02  1.222130E-02
 442      213.092  9.873995E-01  1.165604E-02  1.195376E-02
 443      215.413  9.876081E-01  1.139823E-02  1.168450E-02
 444      217.758  9.877676E-01  1.114078E-02  1.141697E-02
 445      220.130  9.879282E-01  1.088101E-02  1.114720E-02
